Geographic code,Geographic name,Population centre size group,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
1262,Duck Lake,Small,British Columbia,F,6982,6764,T,3.2,3928,3015,14.2,491.6
1563,Peachland,Small,British Columbia,F,4698,4527,T,3.8,2396,2148,9.83,478.1
1376,Roberts Creek,Small,British Columbia,F,1848,1771,T,4.3,987,809,3.93,470.7
1171,Salmo,Small,British Columbia,F,1141,1139,F,0.2,572,547,2.44,467
1566,Rosedale,Small,British Columbia,F,1741,1744,T,-0.2,631,608,3.83,454.5
1561,Naramata,Small,British Columbia,F,1003,915,T,9.6,480,417,2.31,433.7
776,Sparwood,Small,British Columbia,F,3490,3511,T,-0.6,1980,1539,8.13,429.3
1555,Canoe,Small,British Columbia,F,1081,1149,T,-5.9,503,436,2.57,421.4
1568,Telkwa,Small,British Columbia,F,1160,1163,T,-0.3,467,428,2.85,406.9
1564,Puntledge,Small,British Columbia,F,1387,1358,T,2.1,566,562,3.47,400.2
